TransactionNo,Bread,Beverage,Cleaner,CannedGoods,Dairy,Drink,Dry_BakingGoods,FrozenFood,Fruit,Meat,PaperGoods,PersonalCare,Tobacco,Vegetable
270,1,1,0,1,1,0,0,1,0,0,0,1,0,0
271,1,0,1,0,1,0,0,0,1,0,1,1,0,1
272,1,1,1,1,1,0,0,1,0,0,1,1,0,1
273,1,1,0,1,1,1,0,1,1,0,0,1,0,1
274,0,1,0,1,1,0,1,1,1,0,0,1,1,1
275,1,1,0,0,0,0,0,1,0,0,0,0,0,0
276,1,1,0,0,0,0,0,1,1,1,1,1,1,1
277,1,1,0,1,1,0,0,1,1,0,0,0,0,1
278,0,1,0,0,1,0,1,0,1,0,1,0,0,1
279,1,1,0,0,1,0,0,0,0,1,0,0,0,0
280,1,1,0,0,1,0,0,1,1,0,0,0,1,1
281,1,1,0,0,1,0,0,0,1,1,1,0,1,0
282,1,0,0,0,1,1,0,1,1,0,0,1,1,1
283,1,1,0,1,1,0,0,1,1,0,1,1,0,1
284,1,0,1,0,1,1,0,0,1,1,1,0,1,1
285,1,1,0,0,1,0,1,1,0,0,0,1,0,0
286,0,1,1,0,1,0,1,1,1,0,0,0,0,1
287,1,0,0,1,1,1,0,0,1,0,1,1,1,1
288,1,0,0,1,0,1,0,1,0,0,1,1,1,0
289,0,0,0,0,0,0,0,0,1,0,0,1,0,1
290,0,1,1,1,0,0,0,1,1,0,1,0,0,1
291,1,1,0,0,1,1,1,0,1,0,0,1,0,1
292,1,0,0,0,0,1,0,0,1,1,0,1,0,1
293,1,1,0,0,1,0,0,0,1,1,0,1,1,1
294,0,1,0,0,1,0,1,0,1,1,0,1,0,1
295,0,0,0,0,1,1,1,0,1,1,1,1,1,1
296,1,0,0,1,1,1,0,1,1,0,0,1,1,1
297,1,1,1,1,0,1,0,1,1,0,1,1,1,1
298,1,1,0,0,1,0,0,0,1,1,0,1,1,1
299,1,0,0,1,0,0,0,1,1,0,0,1,0,1
300,0,1,0,1,1,0,1,1,1,0,0,0,0,1
301,1,1,1,1,0,0,0,1,1,0,0,0,1,1
302,1,0,0,1,1,1,0,1,1,0,0,1,1,1
303,1,1,0,0,1,0,0,0,1,0,1,0,1,1
304,1,1,0,1,1,0,0,1,1,1,0,0,0,1
305,1,1,0,0,1,0,0,1,0,0,0,1,0,1
306,1,1,1,0,1,0,0,0,1,0,1,0,0,1
307,0,1,0,1,1,0,0,1,1,0,1,0,1,1
308,0,1,0,0,1,0,1,0,0,0,1,0,0,0
309,1,0,0,0,1,0,0,1,1,0,1,0,0,1
310,1,0,1,1,1,1,0,1,0,0,0,1,1,0
311,0,0,1,0,1,0,1,0,1,1,0,0,0,1
312,1,1,0,1,1,0,0,1,1,0,0,1,0,1
313,1,1,0,0,1,0,0,0,1,0,0,1,0,1
314,1,0,0,1,0,0,0,1,1,1,1,1,0,1
315,0,0,0,0,0,1,1,1,1,0,1,1,1,1
316,1,1,0,0,1,0,0,1,1,0,1,0,1,1
317,1,1,0,1,0,1,0,1,1,0,0,1,1,1
318,1,0,0,0,1,0,1,0,1,1,0,1,0,0
319,0,1,0,0,1,1,1,0,1,0,0,1,0,1
320,1,1,0,0,1,0,0,0,1,1,0,1,1,0
321,1,1,0,0,1,0,0,0,1,0,1,1,1,1
322,1,1,1,0,0,0,0,0,1,1,1,0,0,1
323,1,0,1,0,1,1,0,0,1,1,0,1,1,0
324,1,1,0,0,1,0,0,1,0,1,0,1,0,1
325,1,1,1,0,1,0,0,0,1,0,1,0,0,1
326,1,1,0,0,1,0,0,0,1,1,0,0,0,1
327,1,0,0,1,1,1,0,1,1,0,1,1,1,0
328,1,1,0,1,1,0,0,1,1,0,1,0,1,1
329,1,1,0,1,0,0,0,1,1,0,0,1,0,1
330,1,1,0,0,1,0,0,0,1,1,1,0,0,1
331,1,1,0,1,1,0,0,1,1,0,1,1,1,1
332,1,1,0,0,1,0,0,0,1,0,1,1,0,1
333,1,1,0,0,1,0,0,0,1,1,0,1,0,1
334,1,0,0,1,0,1,0,1,1,0,1,1,1,1
335,1,0,1,0,1,1,1,1,1,0,1,1,0,1
336,1,1,0,1,1,0,0,1,1,0,0,1,0,1
337,1,1,0,0,0,0,0,1,1,0,0,0,0,1
338,1,1,1,0,0,1,0,0,1,1,1,1,1,1
339,1,0,0,0,1,0,0,0,1,0,0,1,1,1
340,1,1,0,0,1,0,0,0,1,0,1,1,0,1
341,1,0,0,0,1,0,0,1,0,0,0,1,1,1
342,1,0,0,0,0,1,0,1,1,0,1,1,1,1
343,1,0,0,0,1,0,0,0,0,1,1,1,0,0
344,1,1,0,1,1,0,1,1,1,0,0,1,1,0
345,0,0,0,0,1,0,1,1,1,0,0,0,1,1
346,1,1,1,0,0,0,0,1,1,1,1,1,0,1
347,1,1,0,0,1,1,0,1,1,0,0,1,1,1
348,0,1,0,1,0,0,1,1,1,0,0,1,0,1
349,1,0,0,1,1,1,0,1,1,0,1,1,1,1
350,1,1,0,1,1,0,0,0,1,0,0,0,0,1
351,1,0,0,1,1,1,0,1,1,1,0,1,0,1
352,0,1,0,0,1,0,0,1,0,0,0,0,0,0
353,0,1,0,0,1,0,1,0,0,1,0,0,0,0
354,1,1,0,0,1,0,0,0,0,1,0,1,0,0
355,1,0,0,1,1,0,1,1,0,0,0,1,0,0
356,1,0,0,1,1,1,0,1,1,0,1,1,1,1
357,1,1,0,0,1,0,0,0,1,0,0,1,0,1
358,1,1,1,0,0,0,0,0,0,1,1,1,1,1
359,0,0,1,0,1,0,1,0,0,1,1,1,0,0
360,1,0,1,1,1,1,0,1,1,0,1,0,1,1
361,1,1,0,0,1,0,0,1,1,1,0,0,0,0
362,1,1,1,0,1,0,0,1,1,0,1,0,0,1
363,1,1,0,0,0,0,0,0,1,1,1,1,0,0
364,1,1,0,1,0,0,1,1,1,0,1,1,0,1
365,1,0,0,0,1,1,0,0,1,0,0,1,1,0
366,1,0,1,0,1,1,0,0,0,1,1,1,1,0
367,1,1,0,0,0,0,0,0,1,1,0,1,0,1
368,1,0,0,0,1,1,0,0,1,1,0,1,1,1
369,1,1,1,0,1,0,0,0,1,1,1,0,0,1
370,1,1,0,0,1,0,0,0,1,1,0,1,1,1
371,1,1,0,0,1,0,0,0,1,0,0,0,0,1
372,1,1,0,0,0,1,0,0,1,1,0,0,1,1
373,1,1,1,0,0,0,0,0,0,0,1,1,0,0
374,1,1,0,0,0,1,0,0,1,1,0,1,1,1
375,1,0,0,0,1,1,0,1,1,0,1,1,0,1
376,1,1,0,0,0,0,0,1,1,0,1,1,0,1
377,1,1,0,0,1,1,0,0,1,1,1,1,0,1
378,1,1,0,0,1,0,0,0,1,0,0,0,0,1
379,1,0,1,1,1,1,0,1,0,0,0,1,1,1
380,1,1,0,1,1,1,1,1,1,0,0,1,1,1
381,0,0,0,0,1,1,1,0,1,0,1,1,1,1
382,1,0,0,0,1,1,1,1,1,0,0,1,1,1
383,0,1,0,0,1,0,1,1,1,0,0,0,0,1
384,1,1,0,0,1,0,0,0,1,1,0,0,0,1
385,1,0,0,1,0,0,0,1,1,0,1,0,0,1
386,1,1,0,0,1,0,1,1,0,0,0,0,0,0
387,1,1,1,1,1,0,0,1,1,1,1,0,0,1
388,1,1,1,0,1,0,0,1,1,0,1,0,0,0
389,0,1,0,1,0,0,0,1,1,0,1,1,1,1
390,1,1,0,0,0,0,0,0,1,0,0,1,0,1
391,1,1,1,0,1,0,0,0,1,1,1,0,0,1
392,1,1,0,1,1,0,0,0,0,0,0,0,1,1
393,1,1,0,0,1,1,0,0,0,1,0,1,0,0
394,1,0,0,0,1,0,0,0,1,0,1,1,0,1
395,1,1,0,0,1,0,0,1,1,0,0,0,0,1
396,0,1,0,0,1,0,1,0,1,1,1,0,1,1
397,1,1,1,0,1,0,0,0,1,1,0,1,0,1
398,0,0,0,0,1,1,0,0,0,1,0,1,0,0
399,0,1,1,0,0,0,0,1,1,0,1,1,0,1
400,1,1,0,0,0,0,1,0,0,1,0,0,0,0
401,1,0,1,0,1,0,0,1,0,0,1,0,0,0
402,0,1,1,0,0,0,1,1,1,1,1,0,0,1
403,1,0,0,0,1,0,0,1,1,0,0,1,0,1
404,1,0,1,1,1,1,0,1,1,0,0,1,1,0
405,1,0,0,0,1,1,0,0,1,0,0,1,1,1
406,1,1,0,0,0,0,0,0,1,0,1,0,0,1
407,1,1,0,0,1,0,0,1,1,0,0,0,1,1
408,1,1,0,0,1,1,0,1,1,0,0,1,1,1
409,1,0,0,1,1,1,0,1,1,0,0,1,1,1
410,0,1,0,0,0,0,1,1,1,0,1,0,0,1
411,0,1,0,1,1,0,0,0,1,0,0,0,1,1
412,1,1,0,0,0,0,0,0,1,0,0,1,0,1
413,0,1,0,0,1,0,1,0,1,1,1,0,0,1
414,1,0,0,1,0,1,1,1,0,0,0,1,1,1
415,1,1,0,1,1,1,0,1,1,0,1,0,1,1
416,1,1,0,0,0,1,0,0,1,1,1,1,1,1
417,1,1,0,0,1,0,0,0,1,1,0,1,0,1
418,1,1,0,0,0,0,0,0,1,0,0,1,1,0
419,1,1,0,0,1,0,0,0,1,0,0,0,0,1
420,1,1,0,0,1,0,0,1,1,0,0,0,0,1
421,1,1,0,1,1,0,0,1,1,0,1,0,0,1
422,1,0,0,1,1,1,0,1,1,0,1,1,1,1
423,1,0,0,0,1,1,1,0,1,0,1,1,1,1
424,1,1,0,0,0,0,0,1,1,0,0,0,1,1
425,1,1,0,1,1,0,0,1,1,0,0,0,0,1
426,1,1,0,0,0,0,0,0,1,0,0,1,0,1
427,1,0,0,0,1,0,0,0,1,1,1,0,0,1
428,1,1,0,0,1,0,0,1,1,0,1,1,0,1
429,1,1,0,0,1,0,0,1,1,0,1,0,0,1
430,1,1,1,1,1,1,0,0,1,0,0,1,1,1
431,1,0,1,0,0,1,0,0,1,1,1,1,1,1
432,1,0,0,1,1,1,0,1,1,1,1,1,1,1
433,1,0,0,0,1,1,0,0,0,1,0,1,0,1
434,1,1,0,0,1,0,0,0,1,1,0,0,1,1
435,1,1,0,0,1,0,0,0,1,0,0,1,0,1
436,1,0,1,0,0,0,0,0,0,1,1,1,0,1
437,1,0,0,1,0,1,0,1,1,0,0,1,1,0
438,0,0,0,1,1,0,1,1,1,0,1,0,0,1
439,1,0,1,0,1,0,0,0,1,1,1,0,0,1
440,0,1,0,0,0,0,1,0,1,1,1,0,0,1
441,1,0,0,0,1,0,0,1,1,0,0,1,0,1
442,0,0,0,0,0,1,1,1,0,0,1,1,0,1
443,1,1,1,1,1,0,0,1,1,0,0,0,0,0
444,1,0,0,0,1,1,0,1,1,0,0,1,1,1
445,1,0,1,0,1,0,0,0,1,1,1,0,1,1
446,1,0,0,0,1,1,0,0,1,0,0,1,0,1
447,1,0,0,1,1,1,0,1,1,0,1,1,1,1
448,0,0,0,0,1,0,0,0,1,0,1,0,0,1
449,1,1,0,0,1,0,0,0,1,1,0,1,1,1
450,0,1,1,0,1,0,1,1,0,0,1,0,0,1
451,1,1,0,0,1,0,0,1,1,0,0,0,0,1
452,1,0,1,0,0,1,1,0,1,0,1,1,1,1
453,1,1,1,1,1,0,0,1,1,0,1,0,0,0
454,1,1,1,0,1,0,0,0,1,1,1,0,0,1
455,1,1,1,0,1,0,0,0,0,0,1,0,0,1
456,1,1,0,1,1,0,1,1,1,1,0,1,0,1
457,0,0,0,0,1,1,1,1,1,1,0,1,1,0
458,1,0,0,0,1,1,0,0,1,1,0,1,1,1
459,1,1,0,0,1,0,0,0,0,1,0,1,1,1
460,1,1,1,1,1,0,0,1,1,0,1,1,0,1
